Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem C-01,3,Correct,3
Basic Problem C-02,4,Correct,4
Basic Problem C-03,-1,Skipped,4
Basic Problem C-04,8,Correct,8
Basic Problem C-05,3,Correct,3
Basic Problem C-06,7,Correct,7
Basic Problem C-07,-1,Skipped,2
Basic Problem C-08,5,Correct,5
Basic Problem C-09,-1,Skipped,2
Basic Problem C-10,7,Correct,7
Basic Problem C-11,4,Correct,4
Basic Problem C-12,8,Correct,8
Challenge Problem C-01,-1,Skipped,7
Challenge Problem C-02,7,Correct,7
Challenge Problem C-03,-1,Skipped,3
Challenge Problem C-04,8,Correct,8
Challenge Problem C-05,-1,Skipped,4
Challenge Problem C-06,-1,Skipped,7
Challenge Problem C-07,3,Correct,3
Challenge Problem C-08,-1,Skipped,1
Challenge Problem C-09,8,Incorrect,7
Challenge Problem C-10,-1,Skipped,3
Challenge Problem C-11,4,Correct,4
Challenge Problem C-12,-1,Skipped,2
